127.0.0.1 - - [02/Aug/2017:16:02:07 +0900] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:18 +0900] "GET /mypage/write.html HTTP/1.1" 200 21098
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:18 +0900] "GET /mypage/node_modules/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:18 +0900] "GET /mypage/write.css HTTP/1.1" 200 11640
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:18 +0900] "GET /mypage/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:18 +0900] "GET /maps/documentation/javascript/demos/demos.css HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:18 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:18 +0900] "GET /mypage/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/blueimp-file-upload/js/vendor/jquery.ui.widget.js HTTP/1.1" 200 16089
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/blueimp-load-image/js/load-image.all.min.js HTTP/1.1" 200 17766
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/blueimp-canvas-to-blob/js/canvas-to-blob.js HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/bootstrap/dist/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/blueimp-file-upload/js/jquery.iframe-transport.js HTTP/1.1" 200 10891
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/blueimp-file-upload/js/jquery.fileupload.js HTTP/1.1" 200 63769
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/blueimp-file-upload/js/jquery.fileupload-process.js HTTP/1.1" 200 6161
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/node_modules/blueimp-file-upload/js/jquery.fileupload-image.js HTTP/1.1" 200 12299
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/write.js HTTP/1.1" 200 10059
0:0:0:0:0:0:0:1 - - [02/Aug/2017:16:02:19 +0900] "GET /mypage/pictures/ourlogo.png HTTP/1.1" 200 14328
